Comment,Compound,Positive,Negative,Neutral
Now collab with Troye Sivan for maximum impact.,0.0,0.0,0.0,1.0
Jack had some pretty cringe lines (is he Asian women-fetishizing just because Jungkook happens to be Asian...?) but other than that it was alright,0.5574,0.173,0.0,0.827
"Imo Seven is better but I'm so glad to see a pop boy actually bringing back POP, the production is very Justin Timberlake 2000s coded. Jack Harlows feature was cute as well.

Edit: I retract it's a grower ;) and a sexXXXxy BOP, maybe better than seven.",0.9643,0.329,0.0,0.671
"I like 3D more than Seven, but Seven definitely had the better feature. Thank GOD for the solo version because Jack Harlow's part was trash.",0.9446,0.447,0.0,0.553
"Love that Jack Harlow always drops a Louisville/Kentucky easter egg into his verses. 

Stonybrook is a run-down movie theater in Louisville that now permanently smells of raw sewage, but it was THE PLACE in high school. 

Just tickles me that these random Kentucky references get such a wide audience.",0.3818,0.051,0.0,0.949
This was unexpected. What a throwback! If you would've told me that Nsync would release a song in 2023 that was less Nsync than a Korean popstar on the same day...I would not believe you.,0.0,0.0,0.0,1.0
Main pop boy for real. Catchy and groovy. Another hit like Seven? ☝️,0.3612,0.152,0.0,0.848
"I like the song. The song sounds similar to something. Especially when he says ""so if you're ready and if you'll let me, I wanna see it in motion in 3D"". Like from a 90s group. I swear I have heard that tune before. Does anyone know?

Also does anyone know why he keeps having people featured on the songs first Latto then Jack Harlow? Is this a strategic move so he is on Billboard or?",0.7808,0.099,0.015,0.886
im cracking up at these kpop stans not liking harlow's verse,-0.3089,0.0,0.184,0.816
This is a bop idc. Thank you JK for contributing to the 2000s pop sound revival,0.6289,0.268,0.0,0.732
someone pls come get me because i actually think jack harlow looks cute in the black tshirt? PLEASE HELP ME,0.8679,0.402,0.0,0.598
"I actually like it more than seven on the first listen, I think this is the kind where the more you play it, the more you like it!

I also enjoyed seeing Jungkook have mini dances at some point in the video! I feel like he’s really feeling himself and I love that for him! 

Also I really enjoyed Jack Harlow’s verse, went well with the song! I saw people in the kpop sub being upset but it truly adds to the song 🔥",0.9386,0.244,0.049,0.708
"Was there for JT and am thrilled to have those vibes back via JK! Super catchy, his voice is perfect for this kind of song and I love his quick lyrics! I like Jack’s initial verse but his ending doesn’t do it for me, so i will prob listen to the alternate version a bit more (it’s just JK, and the clean version). 

Also this video is a trip, but as someone who remembers JK wearing long sleeves and gloves over his tattoos, you dance in the rain with that sleeve out!",0.9571,0.198,0.0,0.802
"I love you JK. This feels like cosplaying main pop boy and I doesn't quite land for me. Something seems off and I can't quite put my finger on it. I do think this is more interesting than Seven in its delivery and melody though.

As for Jack, I guess I should thank him for including the first mentions of shrooms and the state of Kentucky in a KPOP song.",0.9041,0.156,0.0,0.844
God i just loveeeee pure *fun* pop,0.6597,0.519,0.0,0.481
"This sounds like an ad for a phone camera, i can't take it seriously. I do like the way he sounds, but then comes jack harlow absolutely butchering the rap, so overall it's just ok, not much replay value like seven",0.5354,0.172,0.055,0.773
"I like this more on first listen than I did Seven. It's fun and it's gonna be stuck in my mind for ages, which is basically what I wanted so good job, JK! A bop for sure. Edit: Yeah, I like it more than Seven - ""So if you're ready and if you'll let me, I wanna see it, in motion, in 3D\~"" is more fun to sing along to 🤣 

But man, I normally like generic rap features on pop songs and was prepared to vibe but Jack Harlow was not it here 😭 Not even the content of the lyrics, his delivery just throws me out of the song. Guess it's the alt version for me then. (Pretty funny they still put Jack's name on the version where he isn't present at all though.)

Ngl I'm curious if this will do similar numbers to Seven. 👀 It's not the same sound and Harlow is a bigger name than Latto, so maybe.",0.9743,0.178,0.029,0.793
"Production wise, this is very 'Green Light' by Beyonce mixed with 'Like I Love You' by Justin Timberlike imo. I really like the production on it, you can tell it's v neptunes/Pharrell inspired. I like it, I found it better than seven on first listen",0.9647,0.358,0.0,0.642
"I like it! It’s catchy and fun just like seven. its one of those songs where the more I listen, the more I like it. Jack's verse is a little corny, but it's funky and camp 😭😭 And that line about calling Jack himself a whore is KILLINGGGG MEE it’s so funny I love it",0.3157,0.225,0.186,0.588
[deleted],0.0,0.0,0.0,1.0
Jack Harlow CANNOT rap 😭 lil nas we need you! Love the melody and JK’s voice though so I’ll probably just stream the clean version,0.8672,0.289,0.0,0.711
"What is it with artists recycling 00s sound, like no producer can introduce a fresh sound? This is a beat from Pharrell's vault or something.

Jack was tolerable and actually good. Jungkook sounded great and [gives off strong Usher vibes](https://youtu.be/HwctEiWLe84?si=Ky4oxJEXKleRsiaS&t=107) w/that white suit. 

This song is an instant add to my playlist bc of the nostalgia vibe to it.",0.9226,0.219,0.031,0.75
"I don’t know how I feel about it. Kinda like it, kinda hate it. From the cheap JT imitation to the wack ass Jack Harlow verses. It’s not serving. And the choruses are way more repetitive than seven’s.

I also want Jung Kook to run from these mediocre white male songwriters. Geez, the lyrics are cringy af. Like this is not maturity.",-0.3736,0.119,0.126,0.755
"Instant bop. Main pop boy Jungkook, I'm ready for you.🔥🔥🔥",-0.5719,0.134,0.385,0.481
"I love BTS, and I really want to love JK’s solo work. I understand that he will explore different avenues and sounds as a solo artist than what we are used to with BTS, but I can’t understand why they choose this type of sound? I’m not saying it’s bad - just that it’s okay as it is forgettable. I know they’re adding features to expand the audience, but that will hardly have impact when the songs feel so generic. 3D especially sounds like what Starbucks food tastes like lol. 

I think they need to find JK’s producer - like Taylor’s Antonoff, or Billie’s Finneas. I’ve heard the music JK likes and what he’s covered in the past - I’m surprised he isn’t going more that direction. 

Sorry, not trying to hate, I really want JK to succeed, but I have a hard time imagining his audience will grow much bigger in the US with these sounds. It’ll just keep his current fans entertained. I think with the right producers and writers, he can really succeed. I don’t think the label is playing their cards right here. 

Like I said, an okay song, I just don’t know when I’d ever actively listen to it. Or think to listen to it.",0.9967,0.277,0.013,0.71
"ngl this song was q catchy at the start but after the part where he sings ""cause I know you like it girl"" it just doesn't sound as nice as before?? and jack Harlow's part was mehhh. Jungkook did a great job with his visuals and vocals but this song was just not for me. prefer seven more; sounded better to me.",0.9105,0.182,0.04,0.778
"REALLY good. With Jack Harlow on this this will probably do even better than Seven.

Jungkook with his English songs going to be most successful Kpop male artist ever in US, this is a great start. I hope he has a few more comebacks before BTS reunites",0.9579,0.299,0.0,0.701
This is not for me at all. Jk can sing way better than this and Jacks verses were corny. It’s all so generic and unimaginative,0.5859,0.173,0.0,0.827
It sounds like an old justin timberlake song. From the production to the vocal styling.,0.3612,0.152,0.0,0.848
"It's such a grower, the song was good at release but after a couple of listens it just became amazing. It has such brilliant parts too!

Also, we definitely need to listen on actual streaming platforms like Spotify because I don't even know why YouTube sound quality always subpar. Jungkook's voice sound great on Spotify",0.98,0.339,0.0,0.661
"He's really in that ""Look at me I'm grown era""

And....... I don't know, I just don't buy it. Comes over as insecure. This wasn't bad, Jack's verses were abysmal though. Seven still miles and miles better.",0.4497,0.135,0.066,0.799
"Correct me if I’m wrong, I see people comparing these songs to that of like Justin Bieber, but I don’t remember Justin ever having such explicit songs? As in “I’ll be fucking you right” explicit? It’s usually more tasteful, innuendos like “peaches”. And not to mention there’s a lot to variety with his music (love yourself, ghost of you) and the music of most pop artists. 
Harry Styles’s music has never come across as immature or boring; it’s quite artistic and unique. Probably the most popular “sexual” artist right now is Ariana (with songs like positions), and even then at least the melodies and beats make them interesting. 

JK’s songs so far just feel so sexual for no tasteful reason. It’s like he’s trying to prove a point. But to me, showing your maturity and sexiness is much better than yelling “look at me, i sing about fucking”. Pair this with a generic sound and I’m a disappointed, bored fan. 

People will disagree with me but I just wanted to point out this comparison to top pop artists that I constantly see. People are acting like pop is all boring and all about sex still, but Pop artists nowadays show a lot more vulnerability and soul than even 10 years ago. If the argument is appealing to western pop, why can’t Jungkook follow that direction? In fact, when looking at Billie Eilish and Olivia Rodrigo, even Taylor Swift who rules the world it seems, it’s MORE popular and in-style to be emotional and vulnerable now. 

But alas, if this style and lyricism is what makes him happy and fulfilled, then who am I to talk.",0.9748,0.166,0.104,0.729
"I love it. Jungkook sounds great, Jack Harlow did okay (as long as I ignore the lyrics). I like the vibe of the song. It's just a really fun pop song and Jungkook did good vocally and charismatically. He looks awesome in the music video. I like this more than seven on first listen but.. time will tell which one I prefer.


Jungkook=main pop boy",0.9031,0.226,0.023,0.75
I really want to love it but it’s giving Justified rejected demo 😩,0.3774,0.414,0.275,0.31
Jack is really trying to be Drake. His verse is funny but it's not catchy like Latto's verse.,-0.1815,0.095,0.129,0.776
It's been hilarious seeing Kpop react to Jack Harlow the same way hip hop does,0.4019,0.162,0.0,0.838
Jack Harlow ruined the song for me but I did enjoy the ABG shoutout LOLLLLL,0.5023,0.222,0.106,0.672
"After a few listens, I’ve concluded that it could possibly be a grower! Seven had to grow on me so maybe this one will too. I don’t think Jack’s verse was that bad tbh, I’ve heard worse and I like their chemistry in the video, pleasantly surprised by it. Pretty sure Latto wasn’t even in the same room when she appeared in the Seven MV so it’s nice to see them like actually together and vibing and stuff! 

As for the song, like I said, maybe it’ll grow on me. The beat is definitely catchy as hell, but something about it just sounds….off. Idk if it’s the way his vocals have been processed or maybe the vocal delivery he’s using for this, but Kook sounds really weird on this song. Idk how to even explain it, it’s almost like his voice is being compressed. He’s incredibly talented as a vocalist and can BELT and even when he tried to show off a bit at the end it almost sounded muffled?? Like wtf is going on with that?? Probably will have to listen again on streaming because YouTube is infamous for having weird audio processing these days. 

Overall, it’s not bad! The aesthetics are a lot more playfully sexy than Seven, with the song in turn being more tame as well. Definitely still makes me very curious about how his album will turn out, because this droplet era has been all over the place so far :o",0.9823,0.176,0.075,0.749
he’s trying too hard to step out of his ‘mould’ that it seems like he’s cosplaying as someone else lol. Cringe and I like him,0.7506,0.258,0.046,0.695
"Eh. It’s got a nice groove, but the vocal melody and performance fall flat for me. It doesn’t really sustain the energy the instrumental has.

Edit: relistened to it and I guess I’m just in the camp that doesn’t get Jungkook, because everything he’s done just has not landed with me. His voice is so thin, the lyrics are consistently terrible, and the melodies he chooses are so uninteresting and unmemorable. Not to be excessively critical, but the hype just misses me entirely.",-0.6709,0.054,0.102,0.844
"Have to say this here since I'd get slaughtered on kpop subs for saying it -- I think what BTS' solo era has shown us is that the vocal line members (with the possible exception of Jimin) are not impressive artists on their own without the creative vision of the rapline members behind them. To be honest, since Jungkook has always had the worst music taste out of the lineup, I frankly was already expecting him to put out the worst solo music, but man, these songs are just so lame and uninspired they're kind of disappointing even my low expectations.",-0.9595,0.018,0.192,0.79
that rap was so unnecessary and straight up cringe. not sexy at all.,-0.1562,0.136,0.174,0.69
This is my favorite solo song from any of the BTS members I think! I know everyone’s making the JT comparisons and the production is very Pharell esque but tbh harlows delivery even reminds me a bit of TI on my love except not nearly as good lol,0.8885,0.228,0.052,0.72
I love JK but this song is a hard pass for me. I don't like this kind of vibe... well I'll just stream Seven.,0.4218,0.233,0.141,0.626
Lol watching all the kpopheads lose their minds at Jack Harlow actually makes me enjoy it more. It's not necessarily a high-bar to cross; but this might be one of my favorite releases from him 😂,0.875,0.257,0.082,0.661
"The issue I have is I just listened to FutureSex/LoveSounds after hearing the teaser and this song is toooo inspired by JT/Timberland/Neptunes song and now i want to go back and listen to the source material again because 3D kind of feels like a b-side that ain’t make the cut.

Edit: After listening to some JT and going to 3D - 3D would have solidly made the album cut. I was a bit harsh on it at first listen.",0.1363,0.107,0.101,0.791
[deleted],0.0,0.0,0.0,1.0
"I just don’t think this is the right path for JK as a solo artist. As soon as I started listening, his vocal delivery threw me completely off. I don’t know anything about vocals on a deeper level but there was something really off about his tone and airiness that it almost didn’t sound like himself. I understand seven was a big success and he’s going for an American pop sound but he does his absolute best in “my time” and “still with you”.",0.9479,0.162,0.0,0.838
"Finally JT ditched the autotune effects he had on his vocals the past three features (ICU, Keep Going Up and Better Place). Idk why he thought that was a good idea.

This version should have been the main feature.",0.7925,0.188,0.031,0.781
"Justin rhyming “Seoul, Korea” with “Soul like Aretha” is killing me

Always liked the song, it always sounded like a *Justified* cut, and JT fits just as well as I thought he would",0.7739,0.326,0.139,0.535
"Good feature. 

But the song is too short. Doesn't feel complete like the original one. 

I hope Timberlake's next album isn't full of 2-minute songs.",0.7257,0.27,0.082,0.648
"imagine if pharrell worked on this remix too 🥵🥵 can’t believe the most JT song that isn’t sung by JT to exist has a JT remix, we’re winning in life",0.8908,0.286,0.0,0.714
JT apart from his last album has an exceptional musical career and this really shows that Jungkook took a lot of inspiration from early JT. I like this.,0.8192,0.254,0.0,0.746
In case anyone missed it… JT’s “drop top with the top down” line is a “Summer Love” callback.,0.1027,0.173,0.106,0.721
One thing JT is going to do is eat up a feature...,0.3885,0.193,0.0,0.807
"Controversy aside, I love Justin's addition to this. Wish we got this version as the original instead of the one featuring Jack Harlow.🥴",0.8633,0.304,0.0,0.696
"This should have been the main version, imo",0.0,0.0,0.0,1.0
THIS IS GOOD,0.4404,0.592,0.0,0.408
"JT sounds so good on this, and I’m happy he wrote a new verse. I just wish his part was longer. It’s not just the shortened length but the new verse is kind of awkwardly placed. The original song with Jack Harlow definitely felt like a much more complete song. Also it would’ve sounded better as “JK and JT” instead of “Jung and JT” lol.",0.9639,0.303,0.04,0.656
People slagging this off in the announcement thread like Justin Timberlake doesn’t absolutely deliver on any track he’s featured on.,0.3612,0.116,0.0,0.884
JT on this type of beat is always gonna work shit flows too well,0.0343,0.245,0.186,0.569
[deleted],0.0,0.0,0.0,1.0
Oh this is a bop. The adlibs together at the end sound so good,0.5777,0.223,0.0,0.777
Oh it's gooooood,0.0,0.0,0.0,1.0
"JT probably has the most fire features by a pop artist hotdamn. Add this to the list. 


He did: The Nature with Talib Kweli, Shades with Diddy and Wayne, Ayo Technology with 50, Signs with Snoop and Charlie, Holy Grail with Jay-Z, Dead and Gone with T.I, Cant Believe it with T-Pain and now this remix with JK.

I probably missed more but shit thats an album full of bangers.",-0.8624,0.023,0.146,0.831
"JT's vocal performance here is very reminiscent of how he sounded on the Justified days, I absolutely loved it.",0.7841,0.288,0.0,0.712
this is so good 🥹🥹😭😭,-0.3525,0.209,0.346,0.446
"Now why the hell wasn’t this released as the original version? Hate JT for obvious reasons, but his addition to the song elevates the entire track so much more and actually makes sense",-0.3986,0.092,0.137,0.771
JT adlibing during the chorus is fire,0.0601,0.262,0.239,0.498
Justin actually sounds “decent”..this is right up his alley.,0.0,0.0,0.0,1.0
Justin's vocals harmonies are unmatched. God how I wished he was still a main pop boy.,0.4767,0.235,0.07,0.695
"Damn this is good. The original I thought was fine, but JT gives a much needed jolt of energy.",0.8047,0.428,0.071,0.501
"This is officially one of my favorite songs of 2023, I always disliked Jack's verse but thought this song was a fire callback to the 2000s pop-rnb trend. Getting JT on this feel like a fever dream.

JT actually sounds like him old self on here and not a phoned in feature or something lazy. Only major complaint is it's too short",0.6662,0.21,0.142,0.647
"JT hasn’t lost a step. I still think the song itself is mediocre, but his verse gives it some much needed energy.",0.4246,0.178,0.066,0.756
Oh we eating good,0.4404,0.492,0.0,0.508
I have always said that Jungkook is very Justin coded so this is just perfect (just wish JT wasnt such an insufferable douche),0.7603,0.296,0.082,0.622
"Don’t get me wrong, this is a great collab! But am I the only one who prefers the original? 😅",0.7901,0.3,0.068,0.631
"The Jack Harlow version of this song was a horrible first impression of this song - Jungkook sounds fine but Jack's cringey, sleazy rap stuck out like a deer in headlights on what's supposed to be more of a fun, flirty song. Justin's verses and energy fit a lot better - this really should have been the version we should have been introduced to on Day 1.",0.9505,0.268,0.056,0.676
It's weird to say this but this remix is billiont times better than the OG,0.5423,0.212,0.074,0.714
"This song was made with Timberlake's blueprint to begin with, so not surprised that he fits here like a haute couture glove. I still don't think the song itself is particularly good, but his verse definitely made me put it on repeat for a good 30 minutes.

&#x200B;

Timberlake continues to never disappoint on a feature. I mean people still think that Signs is a Justin Timberlake song.",0.9129,0.182,0.019,0.799
Despite how much I dislike him for.. several reasons.. I can’t lie and say this doesn’t have me *geeking* right now.. One of Jungkooks biggest idols just casually being on a remix of his?? And it sounds really good??,0.5028,0.132,0.058,0.81
[removed],0.0,0.0,0.0,1.0
"I am ready for JT to claim world wide dominance again. I'm glad they didn't filter his voice like what's been happening for a few years now, he sounds crisp and clean and hungry.",0.9206,0.351,0.0,0.649
Glad JT jumped on. It originally felt like a JT / Pharrell inspired song.,0.918,0.608,0.0,0.392
"Is it just me who wants JT to sing the entire song lmao my favourite part was definitely his verse, the rest of the song seemed like Jungkook’s vocals completely drowned his out in the mix. I also think the ‘body to body to body’ part of the bridge is extremely lyrically redundant. So overall, if JT was on the entire song and the bridge was rewritten, it would be a certified banger. I’m gonna have to see if this grows on relistens cuz I do like the vibe however there are defo superior versions of this song on Justified.",0.9527,0.197,0.035,0.768
Not listening to this. JT deserves nothing.,0.4663,0.336,0.0,0.664
"I couldn't hear Autotune on his vocals ever, what??",0.0,0.0,0.0,1.0
Really? I thought Keep Going Up was mostly his natural voice minus some special effects and reverb.,0.6369,0.257,0.0,0.743
Yes omg the song originally gave me Justin Timberlake & Timbaland vibes so it works perfectly!,0.8154,0.347,0.0,0.653
"I don’t think it will be, because it will be produced by Timbaland, which this wasn’t.",0.0,0.0,0.0,1.0
"If it’s going to be like FS/LS as him and Timbo are saying it’ll be 4-8 minute songs and less than average amount of tracks.

I’m all for that. I’d rather have a good song last a while then have a shit ton of short tracks.",0.2023,0.104,0.069,0.827
"I FUCKING KNEW IT!

Summer Love is one of my favorite songs from FS/LS. As soon as I heard that line I was like “yeahhhh, this is gonna be a great song”.

By the end of it I was convinced this is the best thing JT has put out this year.",0.9739,0.349,0.0,0.651
"Justin sounds hungry again, I’m excited to see him fight to reestablish his dominance.",0.1531,0.236,0.146,0.618
"Man literally never misses on his features, it's unreal.",0.1695,0.172,0.0,0.828
Ya I was not impressed w jacks feat and this is what I imagined tbh,-0.3724,0.0,0.154,0.846
"He has a golden voice and flow in this song it felt natural.

Although it’s very unlikely I hope this reaches the top 10 on the Billboard 100.",0.7726,0.266,0.0,0.734
JK & JT was such a missed opportunity wow,0.8647,0.657,0.122,0.221
